"author","comment","publishedAt","score"
"Hisbula Huda","cek bsu secara berkala selalu email tidak valid padahal cuma satu email","2025-12-11 13:22:14","5"
"pauji rahman","selalu berikan informasi yang detail dan konsisten","2025-12-11 13:17:36","5"
"Akhda Azizah","sangat berguna sekali","2025-12-11 13:12:19","5"
"Eva Erina","baik","2025-12-11 13:10:44","5"
"M.AMMAR S.I","saya senang adanya jmo,tetapi perihal laporan upah yang di terima dan upah yang di laporkan tidak sesuai sampai sekarang belum ada tindak lanjut,dan yang bikin saya kecewa lagi laporan di aplikasi tidak bisa di rubah atau di ganti atau di kirim ulang.sangat kecewa kalau bisa kirim pengaduan cuma 1 kali di aplikasi,itupun tidak bisa di rubah.laporan pengaduan tahun lalu,tapi sampai sekarang pengaduan masih tertera tahun lalu,tidak bisa kirim pengaduan lagi.","2025-12-11 13:05:23","3"
"nounna nisa","ok sekali membantu","2025-12-11 12:48:14","5"
"Gilang Rayyi","oke","2025-12-11 12:46:56","5"
"Arif Hidayat","bagus","2025-12-11 12:45:29","5"
"R P","ok","2025-12-11 12:44:47","5"
"Herdi Aprizal","baik","2025-12-11 12:35:52","5"
"Budiono Ono","mudah digunakan","2025-12-11 12:34:05","5"
"asan winoto","tingkatkan kualitasnya","2025-12-11 12:28:49","4"
"Aceng Sandi","siip","2025-12-11 12:27:09","5"
"Diah amoy","mantap","2025-12-11 12:10:05","5"
"Iswan Kaputra (Channel Desa)","Bagus...","2025-12-11 12:04:41","5"
"Andi yanto Zai","sangat puas","2025-12-11 12:01:50","5"
"Vita","mantapp","2025-12-11 11:52:16","3"
"Muhamad Abdurrohman","alhamdulillah mantap","2025-12-11 11:47:45","5"
"Ayu Rahayu","aplikasi nya kenapa gak bisa dibuka ya ..??","2025-12-11 11:34:57","5"
"Aries Setya","Aplikasinya tidak bisa di gunakan, soalnya mau login keluar aplikasi terus mohon bantuannya","2025-12-11 11:32:29","5"
"Rita Kurniati","aplikasi tidak bisa dibuka","2025-12-11 11:27:15","1"
"Hendrix BA","amanah","2025-12-11 11:22:16","5"
"Muhamad Solahudin","manteppp Poko nya","2025-12-11 11:14:14","5"
"Habib Gank","cairkan bsu","2025-12-11 11:00:58","5"
"Yasinta Sifa Aulia","kebanyakan update aplikasi, tp oke lah","2025-12-11 11:00:53","5"
"Hiro Game Station","mantap cepat proses klaimnya","2025-12-11 10:59:44","5"
"ASMONI MONI","sangat bagus dan mudah dipahami","2025-12-11 10:57:36","5"
"Dior Tris","ok","2025-12-11 10:49:52","3"
"Syahrul Nizam","mantap . lebih mudah untk pengobatan","2025-12-11 10:39:26","5"
"ALL","sangat bagus","2025-12-11 10:34:18","5"
"Bima wisnu Bima wisnu","aplikasi jmo pelayannya bagus","2025-12-11 10:31:11","5"
"Hanif Syaifullah","Alhamdulillah....terima kasih BPJS ketenagakerjaan semoga semakin maju melayani masyarakat","2025-12-11 10:30:03","5"
"Dhevy Dhevan","sangat bagus , pencairan hany a 2 menit","2025-12-11 10:22:16","5"
"Indra 46","okay","2025-12-11 10:21:28","5"
"Yarman Nias","JMO sangat bermanfa'at","2025-12-11 10:12:10","5"
"Aiyanaa Zulaikha","Lebih cepat. Terimakasih banyak kak.","2025-12-11 10:10:13","5"
